drugbank_id	name	cas	group	description	indication
DB00786	Marimastat	154039-60-8	approved,investigational,	Used in the treatment of cancer, Marmiastat is an angiogenesis and metastasis inhibitor. As an angiogenesis inhibitor it limits the growth and production of blood vessels. As an antimetatstatic agent it prevents malignant cells from breaching the basement membranes.	For the treatment of various cancers
DB00787	Acyclovir	59277-89-3	approved,	"A guanosine analog antiviral drug that acts as an antimetabolite. Aciclovir is used for the treatment of herpes simplex virus infections, varicella zoster (chickenpox) and herpes zoster (shingles).

Aciclovir has also been investigated for the treatment of herpes labialis applied using an iontophoretic device. Currently approved drugs for the treatment of herpes labialis (cold sores) exhibit low levels of efficacy due to the limited ability of the drugs to penetrate the skin to the site where the herpes virus is replicating. Iontophoresis uses electric current to enhance the delivery of drugs through the skin."	For the treatment and management of herpes zoster (shingles), genital herpes, and chickenpox. 
DB00788	Naproxen	22204-53-1	approved,vet_approved,	An anti-inflammatory agent with analgesic and antipyretic properties. Both the acid and its sodium salt are used in the treatment of rheumatoid arthritis and other rheumatic or musculoskeletal disorders, dysmenorrhea, and acute gout.	For the treatment of rheumatoid arthritis, osteoarthritis, ankylosing spondylitis, tendinitis, bursitis, and acute gout. Also for the relief of mild to moderate pain and the treatment of primary dysmenorrhea.
DB00789	Gadopentetate dimeglumine	86050-77-3	approved,	A complex of gadolinium with a chelating agent, diethylenetriamine penta-acetic acid (DTPA see pentetic acid), that is given to enhance the image in cranial and spinal MRIs. (From Martindale, The Extra Pharmacopoeia, 30th ed, p706)	For use with magnetic resonance imaging (MRI) in adults, and pediatric patients (2 years of age and older) to visualize lesions with abnormal vascularity in the brain (intracranial lesions), spine and associated tissues as well as lesions with abnormal vascularity in the head and neck. Also used to facilitate the visualization of lesions with abnormal vascularity in the body (excluding the heart).
DB00790	Perindopril	82834-16-0	approved,	Perindopril is a nonsulfhydryl prodrug that belongs to the angiotensin-converting enzyme (ACE) inhibitor class of medications. It is rapidly metabolized in the liver to perindoprilat, its active metabolite, following oral administration. Perindoprilat is a potent, competitive inhibitor of ACE, the enzyme responsible for the conversion of angiotensin I (ATI) to angiotensin II (ATII). ATII regulates blood pressure and is a key component of the renin-angiotensin-aldosterone system (RAAS). Perindopril may be used to treat mild to moderate essential hypertension, mild to moderate congestive heart failure, and to reduce the cardiovascular risk of individuals with hypertension or post-myocardial infarction and stable coronary disease.	For the treatment of mild to moderate essential hypertension, mild to moderate congestive heart failure, and to reduce the cardiovascular risk of individuals with hypertension or post-myocardial infarction and stable coronary disease. 
DB00791	Uracil mustard	66-75-1	approved,	Nitrogen mustard derivative of uracil. It is a alkylating antineoplastic agent that is used in lymphatic malignancies, and causes mainly gastrointestinal and bone marrow damage. [PubChem]	Used for its antineoplastic properties.
DB00792	Tripelennamine	91-81-6	approved,vet_approved,	A histamine H1 antagonist with low sedative action but frequent gastrointestinal irritation. It is used to treat asthma; HAY fever; urticaria; and rhinitis; and also in veterinary applications. Tripelennamine is administered by various routes, including topically. [PubChem]	Used for the symptomatic relief of hypersensitivity reactions, coughs, and the common cold.
DB00793	Haloprogin	777-11-7	approved,withdrawn,	Haloprogin is used as a topical ointment or cream in the treatment of Tinea infections. Tinea infections are superficial fungal infections caused by three species of fungi collectively known as dermatophytes (Trichophyton, Microsporum and Epidermophyton). Commonly these infections are named for the body part affected, including tinea corporis (general skin), tinea cruris (groin), and tinea pedis (feet). Haloprogin is a halogenated phenolic ether administered topically for dermotaphytic infections. The mechanism of action is unknown, but it is thought to be via inhibition of oxygen uptake and disruption of yeast membrane structure and function. Haloprogin is no longer available in the United States and has been discontinued. 	Used to treat fungal (Tinea) skin infections such as athlete's foot, jock itch, ringworm, and tinea versicolor.
DB00794	Primidone	125-33-7	approved,vet_approved,	An antiepileptic agent related to the barbiturates; it is partly metabolized to phenobarbital in the body and owes some of its actions to this metabolite. Adverse effects are reported to be more frequent than with phenobarbital. (From Martindale, The Extra Pharmacopoeia, 30th ed, p309)	For the treatment of epilepsy
DB00795	Sulfasalazine	599-79-1	approved,	A drug that is used in the management of inflammatory bowel diseases. Its activity is generally considered to lie in its metabolic breakdown product, 5-aminosalicylic acid (see mesalamine) released in the colon. (From Martindale, The Extra Pharmacopoeia, 30th ed, p907)	For the treatment of Crohn's disease and rheumatoid arthritis as a second-line agent.
DB00796	Candesartan cilexetil	145040-37-5	approved,	Candesartan is an angiotensin-receptor blocker (ARB) that may be used alone or with other agents to treat hypertension. It is administered orally as the prodrug, candesartan cilexetil, which is rapidly converted to its active metabolite, candesartan, during absorption in the gastrointestinal tract. Candesartan lowers blood pressure by antagonizing the renin-angiotensin-aldosterone system (RAAS); it competes with angiotensin II for binding to the type-1 angiotensin II receptor (AT1) subtype and prevents the blood pressure increasing effects of angiotensin II. Unlike angiotensin-converting enzyme (ACE) inhibitors, ARBs do not have the adverse effect of dry cough. Candesartan may be used to treat hypertension, isolated systolic hypertension, left ventricular hypertrophy and diabetic nephropathy. It may also be used as an alternative agent for the treatment of heart failure, systolic dysfunction, myocardial infarction and coronary artery disease.	May be used as a first line agent to treat uncomplicated hypertension, isolated systolic hypertension and left ventricular hypertrophy. May be used as a first line agent to delay progression of diabetic nephropathy. Candesartan may be also used as a second line agent in the treatment of congestive heart failure, systolic dysfunction, myocardial infarction and coronary artery disease in those intolerant of ACE inhibitors.
DB00797	Tolazoline	59-98-3	approved,vet_approved,	A vasodilator that apparently has direct actions on blood vessels and also increases cardiac output. Tolazoline can interact to some degree with histamine, adrenergic, and cholinergic receptors, but the mechanisms of its therapeutic effects are not clear. It is used in treatment of persistent pulmonary hypertension of the newborn. [PubChem]	For the treatment of pulmonary artery anomalies
DB00798	Gentamicin	1403-66-3	approved,vet_approved,	A complex of three different closely related aminoglycoside sulfates, Gentamicins C1, C2, and C1a, obtained from Micromonospora purpurea and related species. They are broad-spectrum antibiotics, but may cause ear and kidney damage. They act to inhibit protein synthesis (genetic translation).	For treatment of serious infections caused by susceptible strains of the following microorganisms: <i>P. aeruginosa</i>, <i>Proteus</i> species (indole-positive and indole-negative), <i>E. coli</i>, <i>Klebsiella-Enterobactor-Serratia</i> species, <i>Citrobacter</i> species and <i>Staphylococcus</i> species (coagulase-positive and coagulase-negative).
DB00799	Tazarotene	118292-40-3	approved,investigational,	Tazarotene (marketed as Tazorac®, Avage® and Zorac®) is a prescription topical retinoid sold as a cream or gel. This medication is approved for treatment of psoriasis, acne, and sun damaged skin (photodamage). [Wikipedia]	Used to treat psoriasis, acne and sun damaged skin (photodamage).
DB00800	Fenoldopam	67227-56-9	approved,	A dopamine D1 receptor agonist that is used as an antihypertensive agent. It lowers blood pressure through arteriolar vasodilation. [PubChem]	For the in-hospital, short-term (up to 48 hours) management of severe hypertension when rapid, but quickly reversible, emergency reduction of blood pressure is clinically indicated, including malignant hypertension with deteriorating end-organ function.
DB00801	Halazepam	23092-17-3	approved,illicit,withdrawn,	Halazepam is a benzodiazepine derivative. It possesses anxiolytic, anticonvulsant, sedative and skeletal muscle relaxant properties. It is a trifluoromethyl derivative of nordazepam. While its structure may be similar to chlordiazepoxide and diazepam, it has both less toxicity and less tendency to cause paradoxical hostility and aggression than either of them. Halazepam is no longer marketed in the United States, and was withdrawn by Schering-Plough due to poor sales. [Wikipedia]	Used to relieve anxiety, nervousness, and tension associated with anxiety disorders.
DB00802	Alfentanil	71195-58-9	approved,illicit,	A short-acting opioid anesthetic and analgesic derivative of fentanyl. It produces an early peak analgesic effect and fast recovery of consciousness. Alfentanil is effective as an anesthetic during surgery, for supplementation of analgesia during surgical procedures, and as an analgesic for critically ill patients. [PubChem]	For the management of postoperative pain and the maintenance of general anesthesia.
DB00803	Colistin	1066-17-7	approved,	Cyclic polypeptide antibiotic from Bacillus colistinus. It is composed of Polymyxins E1 and E2 (or Colistins A, B, and C) which act as detergents on cell membranes. Colistin is less toxic than Polymyxin B, but otherwise similar; the methanesulfonate is used orally.	For the treatment of acute or chronic infections due to sensitive strains of certain gram-negative bacilli, particularly <i>Pseudomonas aeruginosa</i>.
DB00804	Dicyclomine	77-19-0	approved,	A muscarinic antagonist used as an antispasmodic and in urinary incontinence. It has little effect on glandular secretion or the cardiovascular system. It does have some local anesthetic properties and is used in gastrointestinal, biliary, and urinary tract spasms. [PubChem]	"For the treatment of functional bowel/irritable bowel syndrome
including Colicky abdominal pain; diverticulitis"
DB00805	Minaprine	25905-77-5	approved,	Minaprine is a psychotropic drug which has proved to be effective in the treatment of various depressive states. Like most antidepressants minaprine antagonizes behavioral despair. Minaprine  is an amino-phenylpyridazine antidepressant reported to be relatively free of cardiotoxicity, drowsiness, and weight gain. 	For the treatment of depression
DB00806	Pentoxifylline	6493-05-6	approved,investigational,	A methylxanthine derivative that inhibits phosphodiesterase and affects blood rheology. It improves blood flow by increasing erythrocyte and leukocyte flexibility. It also inhibits platelet aggregation. Pentoxifylline modulates immunologic activity by stimulating cytokine production. [PubChem]	For the treatment of patients with intermittent lameness or immobility arising from chronic occlusive arterial disease of the limbs.
DB00807	Proparacaine	499-67-2	approved,vet_approved,	Proparacaine is a topical anesthetic drug of the amino ester group. It is available as its hydrochloride salt in ophthalmic solutions at a concentration of 0.5%.	Used as a local (ophthalmic) anesthetic.
DB00808	Indapamide	26807-65-8	approved,	A benzamide-sulfonamide-indole. It is called a thiazide-like diuretic but structure is different enough (lacking the thiazo-ring) so it is not clear that the mechanism is comparable. [PubChem]	For the treatment of hypertension, alone or in combination with other antihypertensive drugs, as well as for the treatment of salt and fluid retention associated with congestive heart failure or edema from pregnancy (appropriate only in the management of edema of pathologic origin during pregnancy when clearly needed). Also used for the management of edema as a result of various causes.
DB00809	Tropicamide	1508-75-4	approved,investigational,	One of the muscarinic antagonists with pharmacologic action similar to atropine and used mainly as an ophthalmic parasympatholytic or mydriatic. [PubChem]	Indicated to induce mydriasis (dilation of the pupil) and cycloplegia (paralysis of the ciliary muscle of the eye) in diagnostic procedures, such as measurement of refractive errors and examination of the fundus of the eye.
DB00810	Biperiden	514-65-8	approved,investigational,	A muscarinic antagonist that has effects in both the central and peripheral nervous systems. It has been used in the treatment of arteriosclerotic, idiopathic, and postencephalitic parkinsonism. It has also been used to alleviate extrapyramidal symptoms induced by phenothiazine derivatives and reserpine. [PubChem]	For use as an adjunct in the therapy of all forms of parkinsonism and control of extrapyramidal disorders secondary to neuroleptic drug therapy.
DB00811	Ribavirin	36791-04-5	approved,	"Producing a broad-spectrum activity against several RNA and DNA viruses, Ribavirin is a synthetic guanosine nucleoside and antiviral agent that interferes with the synthesis of viral mRNA. It is primarily indicated for use in treating hepatitis C and viral hemorrhagic fevers. HCV is a single-stranded RNA virus that is categorized into nine distinct genotypes, with genotype 1 being the most common in the United States, and affecting 72% of all chronic HCV patients [L852]. It is reported that ribavirin might be only effective in early stages of viral hemorrhagic fevers including Lasser fever, Crimean-Congo hemorrhagic fever, Venezuelan hemorrhagic fever, and Hantavirus infection. Ribavirin is a prodrug that is metabolized into nucleoside analogs that blocks viral RNA synthesis and viral mRNA capping. Before the development of newer drugs, ribavirin and [DB00008]/[DB00022] dual therapy was considered the first-generation and standard antiviral treatment [A19626]. The dual therapy was administered for 48 weeks in patients with genotype 1, 4, 5, and 6, and 24 weeks in patients with genotype 2 and 3 [A19626]. Newer drugs developed as Hepatitis C viral infection treatments can be used to reduce or eliminate the use of ribavirin, which are associated with serious adverse effects. They also improve therapeutic efficacy in patients with failed [DB00008]/[DB00022] and ribavirin-based therapy. The potential use of ribavirin as a treatment for acute myeloid leukemia is currently under investigation.

According to 2017 American Association for the Study of Liver Diseases (AASLD) and 2015 consensus guidelines from the Canadian Association for the Study of the Liver (CASL), ribavirin is typically used as an adjunct therapy to various first-line and second-line combination therapies recommended for each genotypes. Ribavirin is added to decrease relapse rates by accelerating viral clearance early in the treatment course [A19645]. When used to treat Hepatitis C virus (HCV) infections, it is always used as a part of combination therapies as ribavirin monotherapy is not efficacious in the treatment of chronic hepatitis C infection [A19644]. Additionally, including ribavirin in the regimen can increase the risk of anemia. 

In HCV genotye 1/2/3/4/5/6 patients, ribavirin can be used in combination therapy involving [DB09102] and [DB08934], Eplusa ([DB08934], [DB11613]), Harvoni ([DB08934], [DB09027]), [DB06290] and [DB08934], Viekira Pak ([DB09296], [DB09297], [DB00503], [DB09183]), Technivie ([DB00503], [DB09296], [DB09297]) and Zepatier ([DB11574], [DB11575]). Addition of weight-based ribavirin to Technivie therapy increased sustained virologic response after 12 weeks of daily therapy (SVR12) from 90% to 97% in patients with HCV genotype 1a and 90.9% to 100% in HCV genotype 4 patients [L852]. Zepatier therapy along with ribavirin improved SVR in HCV genotype 5 patients. Combination therapy of ribavirin and [DB00008] results in the SVR of 44% in patients with genotype 1 infection and 70% in patients with genotype 2-6. The inclusion of ribavirin in the combination therapies depend on individual patient's profile, for example if HCV genotype 3 patient has a Y93H genetic variant and compensated cirrhosis."	"Indicated for the treatment of chronic Hepatitis C virus (HCV) infection in combination with other antiviral agents with the intent to cure or achieve a sustained virologic response (SVR). Typically added to improve SVR and reduce relapse rates [A19644].

The addition of ribavirin in Technivie therapy indicated for treating HCV genotype 1a and 4 infections is recommended in patients with or without cirrhosis. 

Resistance: viral genetic determinants resulting in variable response to ribavirin therapy has not been yet determined. "
DB00812	Phenylbutazone	50-33-9	approved,vet_approved,	A drug that has anti-inflammatory, antipyretic, and analgesic activities. It is especially effective in the treatment of ankylosing spondylitis. It also is useful in rheumatoid arthritis and Reiter&#39;s syndrome (investigational indication). Although phenylbutazone is effective in gouty arthritis, risk/benefit considerations indicate that this drug should not be employed for this disease. (From AMA Drug Evaluations Annual, 1994, p1822)	For the treatment of backache and ankylosing spondylitis
DB00813	Fentanyl	437-38-7	approved,illicit,investigational,vet_approved,	A potent narcotic analgesic, abuse of which leads to habituation or addiction. It is primarily a mu-opioid agonist. Fentanyl is also used as an adjunct to general anesthetics, and as an anesthetic for induction and maintenance. (From Martindale, The Extra Pharmacopoeia, 30th ed, p1078)	For the treatment of cancer patients with severe pain that breaks through their regular narcotic therapy.
DB00814	Meloxicam	71125-38-7	approved,vet_approved,	Meloxicam is a nonsteroidal anti-inflammatory drug (NSAID) used to relieve the symptoms of arthritis, primary dysmenorrhea, fever; and as an analgesic, especially where there is an inflammatory component. It is closely related to piroxicam. In Europe it is marketed under the brand names Movalis, Melox, and Recoxa. In North America it is generally marketed under the brand name Mobic. In Latin America, the drug is marketed as Tenaron. [Wikipedia]	For symptomatic treatment of arthritis and osteoarthritis.
DB00815	Sodium lauryl sulfate	151-21-3	approved,	Sodium Lauryl Sulfate (SLS) is an anionic surfactant naturally derived from coconut and/or palm kernel oil. It usually consists of a mixture of sodium alkyl sulfates, mainly the lauryl. SLS lowers surface tension of aqueous solutions and is used as fat emulsifier, wetting agent, and detergent in cosmetics, pharmaceuticals and toothpastes. It is also used in creams and pastes to properly disperse the ingredients and as research tool in protein biochemistry. SLS also has some microbicidal activity. 	SLS is used as a surfactant in shampoos and toothpastes. SLS also has microbicidal activities against both enveloped (Herpes simplex viruses, HIV-1, Semliki Forest virus) and nonenveloped (papillomaviruses, reovirus, rotavirus and poliovirus) viruses, although it has not been approved for this use.
DB00816	Orciprenaline	586-06-1	approved,	A beta-adrenergic agonist used in the treatment of asthma and bronchospasms. [PubChem]	For the treatment of bronchospasm, chronic bronchitis, asthma, and emphysema.
DB00817	Rosoxacin	40034-42-2	approved,investigational,	Rosoxacin is a quinolone derivative antibiotic for the treatment of bacterial infection of respiratory tract, urinary tract, GI, CNS and immuno compromised patients. Rosoxacin is known to be effective against penicillin resistant strains and is a single dose orally administered drug, which avoids all complications of parenteral administration seen with penicillin, especially anaphylactic shock.	For the treatment of bacterial infection of respiratory tract, urinary tract, GI, CNS and immuno compromised patients.
DB00818	Propofol	2078-54-8	approved,investigational,vet_approved,	Propofol is an intravenous anaesthetic agent used for induction and maintenance of general anaesthesia. IV administration of propfol is used to induce unconsciousness after which anaesthesia may be maintained using a combination of medications. Recovery from propofol-induced anaesthesia is generally rapid and associated with less frequent side effects (e.g. drowsiness, nausea, vomiting) than with thiopental, methohexital, and etomidate. Propofol may be used prior to diagnostic procedures requiring anaesthesia, in the management of refractory status epilepticus, and for induction and/or maintenance of anaesthesia prior to and during surgeries.	Used for induction and/or maintenance of anaesthesia and for management of refractory status epilepticus. 
DB00819	Acetazolamide	59-66-5	approved,vet_approved,	One of the carbonic anhydrase inhibitors that is sometimes effective against absence seizures. It is sometimes useful also as an adjunct in the treatment of tonic-clonic, myoclonic, and atonic seizures, particularly in women whose seizures occur or are exacerbated at specific times in the menstrual cycle. However, its usefulness is transient often because of rapid development of tolerance. Its antiepileptic effect may be due to its inhibitory effect on brain carbonic anhydrase, which leads to an increased transneuronal chloride gradient, increased chloride current, and increased inhibition. (From Smith and Reynard, Textbook of Pharmacology, 1991, p337)	For adjunctive treatment of: edema due to congestive heart failure; drug-induced edema; centrencephalic epilepsies; chronic simple (open-angle) glaucoma
DB00820	Tadalafil	171596-29-5	approved,investigational,	"Tadalafil is an orally adminstered drug used to treat male erectile dysfunction (impotence). It is marketed worldwide under the brand name Cialis. It is a phosphodiesterase 5 (PDE5) inhibitor. Tadalafil's distinguishing pharmacologic feature is its longer half-life (17.5 hours) compared with Viagra and Levitra (4-5 hours). This longer half-life results in a longer duration of action and is, in part, responsible for the Cialis nickname of the ""weekend pill."" This longer half-life also is the basis of current investigation for tadalafil's use in pulmonary arterial hypertension as a once-daily therapy. [Wikipedia]"	Used for the treatment of erectile dysfunction.
DB00821	Carprofen	53716-49-7	approved,vet_approved,withdrawn,	Carprofen is a non-steroidal anti-inflammatory drug (NSAID) that is used by veterinarians as a supportive treatment for the relief of arthritic symptoms in geriatric dogs. Carprofen was previously used in human medicine for over 10 years (1985-1995). It was generally well tolerated, with the majority of adverse effects being mild, such as gastro-intestinal pain and nausea, similar to those recorded with aspirin and other non-steroidal anti-inflammatory drugs. It is no longer marketed for human usage, after being withdrawn on commercial grounds. [Wikipedia]	For use as a pain reliever in the treatment of joint pain and post-surgical pain.
DB00822	Disulfiram	97-77-8	approved,	A carbamate derivative used as an alcohol deterrent. It is a relatively nontoxic substance when administered alone, but markedly alters the intermediary metabolism of alcohol. When alcohol is ingested after administration of disulfiram, blood acetaldehyde concentrations are increased, followed by flushing, systemic vasodilation, respiratory difficulties, nausea, hypotension, and other symptoms (acetaldehyde syndrome). It acts by inhibiting aldehyde dehydrogenase. [PubChem]	For the treatment and management of chronic alcoholism
DB00823	Ethynodiol diacetate	297-76-7	approved,	A synthetic progestational hormone used alone or in combination with estrogens as an oral contraceptive. Although etynodiol or ethynodiol are sometimes used as a synonym for ethynodiol diacetate, what is usually being referred to is actually ethynodiol diacetate and not ethynodiol (which is a separate drug that has never been marketed, see [DB13866]).	For the prevention of pregnancy in women who elect to use this product as a method of contraception.
DB00824	Enprofylline	41078-02-8	approved,investigational,	Enprofylline is a derivative of theophylline which shares bronchodilator properties. Enprofylline is used in asthma, chronic obstructive pulmonary disease, and in the management of cerebrovascular insufficiency, sickle cell disease, and diabetic neuropathy. Long-term enprofylline administration may be associated with elevation in liver enzyme levels and unpredictable blood levels.	Used in the management of symptoms of asthma. Also used in the treatment of peripheral vascular diseases and in the management of cerebrovascular insufficiency, sickle cell disease, and diabetic neuropathy.
DB00825	Menthol	2216-51-5	approved,	Menthol is a covalent organic compound made synthetically or obtained from peppermint or other mint oils. It is a waxy, crystalline substance, clear or white in color, which is solid at room temperature and melts slightly above. The main form of menthol occurring in nature is (-)-menthol, which is assigned the (1R,2S,5R) configuration. Menthol has local anesthetic and counterirritant qualities, and it is widely used to relieve minor throat irritation.	Used to treat occasional minor irritation, pain, sore mouth, and sore throat as well as cough associated with a cold or inhaled irritants.
DB00826	Natamycin	7681-93-8	approved,	Amphoteric macrolide antifungal antibiotic from Streptomyces natalensis or S. chattanoogensis. It is used for a variety of fungal infections, mainly topically. [PubChem]	For the treatment of fungal blepharitis, conjunctivitis, and keratitis caused by susceptible organisms including <i>Fusarium solani</i> keratitis.
DB00827	Cinoxacin	28657-80-9	approved,investigational,withdrawn,	Synthetic antimicrobial related to oxolinic acid and nalidixic acid and used in urinary tract infections. [PubChem]	For the treatment of initial and recurrent urinary tract infections in adults caused by the following susceptible microorganisms: <i>Escherichia coli</i>, <i>Proteus mirabilis</i>, <i>Proteus vulgaris</i>, <i>Klebsiella</i> species (including <i>K. pneumoniae</i>), and <i>Enterobacter</i> species.
DB00828	Fosfomycin	23155-02-4	approved,	An antibiotic produced by Streptomyces fradiae. [PubChem]	For the treatment of uncomplicated urinary tract infections (acute cystitis) in women due to susceptible strains of <i>Escherichia coli</i> and <i>Enterococcus faecalis</i>.
DB00829	Diazepam	439-14-5	approved,illicit,investigational,vet_approved,	A benzodiazepine with anticonvulsant, anxiolytic, sedative, muscle relaxant, and amnesic properties and a long duration of action. Its actions are mediated by enhancement of gamma-aminobutyric acid activity. It is used in the treatment of severe anxiety disorders, as a hypnotic in the short-term management of insomnia, as a sedative and premedicant, as an anticonvulsant, and in the management of alcohol withdrawal syndrome. (From Martindale, The Extra Pharmacopoeia, 30th ed, p589)	Used in the treatment of severe anxiety disorders, as a hypnotic in the short-term management of insomnia, as a sedative and premedicant, as an anticonvulsant, and in the management of alcohol withdrawal syndrome.
DB00830	Phenmetrazine	134-49-6	approved,illicit,	A sympathomimetic drug used primarily as an appetite depressant. Its actions and mechanisms are similar to dextroamphetamine. [PubChem]	Used as an anorectic in the treatment of obesity.
DB00831	Trifluoperazine	117-89-5	approved,investigational,	A phenothiazine with actions similar to chlorpromazine. It is used as an antipsychotic and an antiemetic. [PubChem]	For the treatment of anxiety disorders, depressive symptoms secondary to anxiety and agitation.
DB00832	Phensuximide	86-34-0	approved,	Phensuximide is an anticonvulsant in the succinimide class. It suppresses the paroxysmal three cycle per second spike and wave EEG pattern associated with lapses of consciousness in petit mal seizures. The frequency of attacks is reduced by depression of nerve transmission in the motor cortex.	For the treatment of epilepsy.
DB00833	Cefaclor	53994-73-3	approved,	Semisynthetic, broad-spectrum antibiotic derivative of cephalexin.	For the treatment of certain infections caused by bacteria such as pneumonia and ear, lung, skin, throat, and urinary tract infections.
DB00834	Mifepristone	84371-65-3	approved,investigational,	A progestational and glucocorticoid hormone antagonist. Its inhibition of progesterone induces bleeding during the luteal phase and in early pregnancy by releasing endogenous prostaglandins from the endometrium or decidua. As a glucocorticoid receptor antagonist, the drug has been used to treat hypercortisolism in patients with nonpituitary cushing syndrome [PubChem]. The two marketed forms of mifepristone are Mifeprex® (mifepristone 200mg) and Korlym™ (mifepristone 300mg). Currently under investigation for use in psychotic depression (phase 3 trials).	For the medical termination of intrauterine pregnancy through 49 days' pregnancy. Also indicated to control hyperglycemia secondary to hypercortisolism in adult patients with endogenous Cushing's syndrome who have type 2 diabetes mellitus or glucose intolerance and are not candidates for surgery or have had unsuccessful surgery.
DB00835	Brompheniramine	86-22-6	approved,	Histamine H1 antagonist used in treatment of allergies, rhinitis, and urticaria. [PubChem]	For the treatment of the symptoms of the common cold and allergic rhinitis, such as runny nose, itchy eyes, watery eyes, and sneezing.
DB00836	Loperamide	53179-11-6	approved,	One of the long-acting synthetic antidiarrheals; it is not significantly absorbed from the gut, and has no effect on the adrenergic system or central nervous system, but may antagonize histamine and interfere with acetylcholine release locally. [PubChem]	For the control and symptomatic relief of acute nonspecific diarrhea and of chronic diarrhea associated with inflammatory bowel disease or gastroenteritis. Also used for reducing the volume of discharge from ileostomies.
DB00837	Progabide	62666-20-0	approved,investigational,	Progabide is an analog and prodrug of gamma-aminobutyric acid. It is commonly used in the treatment of epilepsy. It has agonistic activity for both the GABAA and GABAB receptors. Progabide has been investigated for many diseases besides epilepsy, including Parkinson's disease, schizophrenia, clinical depression and anxiety disorder with varying success.	Indicated for the treatment of epilepsy.
DB00838	Clocortolone	4828-27-7	approved,	Clocortolone is a medium potency corticosteroid that is often used as a topical cream for the relief of inflammatory oand pruritic (itching) arising from steroid-responsive dermatoses of the scalp.	For short-term topical treatment of the inflammatory and pruritic manifestations of moderate to severe corticosteroid-responsive dermatoses of the scalp.
DB00839	Tolazamide	1156-19-0	approved,investigational,	A sulphonylurea hypoglycemic agent with actions and uses similar to those of chlorpropamide.	For use as an adjunct to diet to lower the blood glucose in patients with non-insulin dependent diabetes mellitus (Type II) whose hyperglycemia cannot be satisfactorily controlled by diet alone.
DB00840	Hydroxypropyl cellulose	9004-64-2	approved,	Hydroxypropyl cellulose is an ether of cellulose where some of the hydroxyl groups of the cellulose have been hydroxypropylated forming -OCH2CH(OH)CH3 groups. Lacrisertis a formulation of hydroxypropyl cellulose that is used for artificial tears. It is used to treat syndromes characterized by insufficient tear production (keratoconjunctivitis sicca), recurrent corneal erosions, decreased corneal sensitivity, exposure and neuroparalytic keratitis, and as a lubricant for artificial eyes. As a food additive, hydroxypropyl cellulose is used as a thickener and as an emulsion stabilizer.	Used to relieve dryness and irritation caused by reduced tear flow that occurs in certain eye diseases (keratoconjunctivitis sicca), recurrent corneal erosions, decreased corneal sensitivity, exposure and neuroparalytic keratitis, and as a lubricant for artificial eyes.
DB00841	Dobutamine	34368-04-2	approved,	A beta-1 agonist catecholamine that has cardiac stimulant action without evoking vasoconstriction or tachycardia. It is proposed as a cardiotonic after myocardial infarction or open heart surgery.	For inotropic support in the short- term treatment of patients with cardiac decompensation due to depressed contractility resulting either from organic heart disease or from cardiac surgical procedures
DB00842	Oxazepam	604-75-1	approved,	Oxazepam is an intermediate-acting benzodiazepine used to treat alcohol withdrawal and anxiety disorders. Oxazepam is also the metabolite of other benzodiazpines.	For the treatment of anxiety disorders and alcohol withdrawal. 
DB00843	Donepezil	120014-06-4	approved,	Donepezil (Aricept), is a centrally acting reversible acetyl cholinesterase inhibitor. Its main therapeutic use is in the treatment of Alzheimer's disease where it is used to increase cortical acetylcholine. Donepezil is postulated to exert its therapeutic effect by enhancing cholinergic function. This is accomplished by increasing the concentration of acetylcholine through reversible inhibition of its hydrolysis by acetylcholinesterase. If this proposed mechanism of action is correct, donepezil's effect may lessen as the disease process advances and fewer cholinergic neurons remain functionally intact. Donepezil has been tested in other cognitive disorders including Lewy body dementia and Vascular dementia, but it is not currently approved for these indications. Donepezil has also been studied in patients with Mild Cognitive Impairment, schizophrenia, attention deficit disorder, post-coronary bypass cognitive impairment, cognitive impairment associated with multiple sclerosis, and Down syndrome.	For the palliative treatment of mild to moderate dementia of the Alzheimer's type.
DB00844	Nalbuphine	20594-83-6	approved,	A narcotic used as a pain medication. It appears to be an agonist at kappa opioid receptors and an antagonist or partial agonist at mu opioid receptors. Nalbuphine is the only opioid analgesic that is not a controlled substance in the United States. 	For the relief of moderate to severe pain.
DB00845	Clofazimine	2030-63-9	approved,investigational,	A fat-soluble riminophenazine dye used for the treatment of leprosy. It has been used investigationally in combination with other antimycobacterial drugs to treat Mycobacterium avium infections in AIDS patients. Clofazimine also has a marked anti-inflammatory effect and is given to control the leprosy reaction, erythema nodosum leprosum. (From AMA Drug Evaluations Annual, 1993, p1619)	For the treatment of lepromatous leprosy, including dapsone-resistant lepromatous leprosy and lepromatous leprosy complicated by erythema nodosum leprosum.
DB00846	Flurandrenolide	1524-88-5	approved,	A corticosteroid used topically in the treatment of various skin disorders. It is usually employed as a cream or an ointment, and is also used as a polyethylene tape with an adhesive. (From Martindale, The Extra Pharmacopoeia, 30th ed, p733)	For relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses, particularly dry, scaling localized lesions
